s dummy RR0 RR2 RR4 RR6 RR8
0.300262 0 0.743625 2.4461 0.583605 6.35987 1.10237
0.300954 0 0.473137 -1.00118 0.828192 -2.60308 1.56436
0.301648 0 0 0 0 0 0
0.302343 0 1.05642 1.40073 -3.79812 3.6419 -7.17424
0.30304 0 0 0 0 0 0
0.303739 0 0 0 0 0 0
0.304439 0 0 0 0 0 0
0.305141 0 1.08431 -0.176962 -1.44459 -0.460101 -2.72867
0.305844 0 0.950892 -2.28068 2.78433 -5.92977 5.25928
0.306549 0 0.472532 -1.18133 1.5948 -3.07146 3.01239
0.307256 0 0 0 0 0 0
0.307964 0 1.68479 2.73328 -5.17478 7.10652 -9.77459
0.308674 0 0 0 0 0 0
0.309386 0 0 0 0 0 0
0.310099 0 0 0 0 0 0
0.310814 0 0 0 0 0 0
0.31153 0 0 0 0 0 0
0.312248 0 2.2879 -2.72942 -1.36613 -7.09649 -2.58047
0.312968 0 0.58686 2.00466 0.734723 5.2121 1.38781
0.31369 0 2.35051 -1.72219 -5.26414 -4.4777 -9.94337
0.314413 0 0 0 0 0 0
0.315138 0 0.551329 -1.3561 1.76137 -3.52587 3.32704
0.315864 0 0 0 0 0 0
0.316592 0 0 0 0 0 0
0.317322 0 0 0 0 0 0
0.318054 0 0 0 0 0 0
0.318787 0 0 0 0 0 0
0.319522 0 0 0 0 0 0
0.320258 0 0 0 0 0 0
0.320996 0 0 0 0 0 0
0.321736 0 1.22095 -1.26273 -2.09644 -3.28311 -3.95994
0.322478 0 0.472862 -0.90026 0.445017 -2.34068 0.840587
0.323222 0 0 0 0 0 0
0.323967 0 0 0 0 0 0
0.324713 0 1.18095 3.82499 0.713817 9.94498 1.34832
0.325462 0 2.74552 3.24175 3.0598 8.42854 5.77962
0.326212 0 1.33814 -0.292506 -2.64506 -0.760516 -4.99623
0.326964 0 0 0 0 0 0
0.327718 0 0 0 0 0 0
0.328473 0 0 0 0 0 0
0.329231 0 1.8574 1.41934 -7.16104 3.69029 -13.5264
0.32999 0 0 0 0 0 0
0.33075 0 1.20829 3.78434 0.283386 9.83927 0.535284
0.331513 0 0 0 0 0 0
0.332277 0 0 0 0 0 0
0.333043 0 0 0 0 0 0
0.333811 0 0 0 0 0 0
0.33458 0 0 0 0 0 0
0.335352 0 0.839362 2.40774 -0.51083 6.26012 -0.964902
0.336125 0 2.74621 1.92719 -5.13088 5.01071 -9.69165
0.336899 0 0 0 0 0 0
0.337676 0 0 0 0 0 0
0.338454 0 0 0 0 0 0
0.339235 0 0 0 0 0 0
0.340017 0 0.963091 1.62385 -3.0781 4.22202 -5.81419
0.340801 0 0 0 0 0 0
0.341586 0 0.642556 -1.52574 1.81279 -3.96693 3.42416
0.342374 0 1.20572 -3.01429 4.06929 -7.83716 7.68644
0.343163 0 0.525698 -0.867072 0.0282201 -2.25439 0.0533046
0.343954 0 1.09768 -1.49631 -0.917791 -3.8904 -1.73361
0.344747 0 0.457151 -0.768185 0.0717434 -1.99728 0.135515
0.345542 0 0 0 0 0 0
0.346338 0 1.86955 -0.854664 -3.99141 -2.22213 -7.53934
0.347137 0 0 0 0 0 0
0.347937 0 0.541043 0.09823 -1.9794 0.255398 -3.73886
0.348739 0 0 0 0 0 0
0.349543 0 0.455225 -1.12348 1.47109 -2.92105 2.77873
0.350349 0 0 0 0 0 0
0.351156 0 0.540678 0.773313 -1.89145 2.01061 -3.57275
0.351966 0 0 0 0 0 0
0.352777 0 0 0 0 0 0
0.35359 0 0 0 0 0 0
0.354405 0 1.05267 5.24735 9.37813 13.6431 17.7142
0.355222 0 1.28528 3.7031 -0.64828 9.62805 -1.22453
0.356041 0 1.4666 -3.6193 4.73849 -9.41019 8.95048
0.356862 0 1.20854 -0.466841 -3.63681 -1.21379 -6.86952
0.357685 0 0 0 0 0 0
0.358509 0 1.68721 3.10564 3.29668 8.07465 6.22706
0.359336 0 1.67839 0.494841 -1.21169 1.28659 -2.28875
0.360164 0 0.685538 -1.54045 1.5641 -4.00517 2.95442
0.360994 0 0 0 0 0 0
0.361826 0 0.49807 2.01975 1.97028 5.25135 3.72164
0.362661 0 0 0 0 0 0
0.363497 0 1.46601 -1.2593 -2.35185 -3.27418 -4.44237
0.364334 0 1.09684 -1.76763 -0.0650723 -4.59585 -0.122914
0.365174 0 1.48383 2.02183 1.48497 5.25675 2.80494
0.366016 0 1.37426 2.57682 -2.77911 6.69973 -5.24944
0.36686 0 0 0 0 0 0
0.367706 0 1.53849 4.55557 8.89474 11.8445 16.8012
0.368553 0 1.15178 -1.92456 0.427988 -5.00385 0.808423
0.369403 0 0.52262 0.889243 -1.65927 2.31203 -3.13418
0.370254 0 0 0 0 0 0
