s dummy RR0 RR2 RR4 RR6 RR8
0.205353 0 11.8121 10.6374 -37.4337 27.6572 -70.7081
0.205826 0 0 0 0 0 0
0.206301 0 0 0 0 0 0
0.206776 0 0 0 0 0 0
0.207253 0 0.945426 1.7109 -2.85258 4.44835 -5.38821
0.207731 0 0 0 0 0 0
0.208209 0 0 0 0 0 0
0.208689 0 2.38655 -1.03696 -7.00057 -2.69609 -13.2233
0.20917 0 0 0 0 0 0
0.209653 0 0 0 0 0 0
0.210136 0 3.27291 0.65104 -12.0156 1.6927 -22.6961
0.21062 0 2.15282 -2.77972 -1.14058 -7.22727 -2.15443
0.211106 0 3.18336 -0.100971 10.7 -0.262525 20.211
0.211593 0 0 0 0 0 0
0.21208 0 1.19609 -1.46856 -1.45559 -3.81827 -2.74945
0.212569 0 1.21956 -2.95255 3.68774 -7.67664 6.96574
0.213059 0 0.829548 1.35171 -2.71335 3.51443 -5.12521
0.21355 0 0.881706 -0.356103 -2.62919 -0.925867 -4.96625
0.214043 0 0 0 0 0 0
0.214536 0 2.82923 -2.17909 -3.58899 -5.66563 -6.7792
0.215031 0 0 0 0 0 0
0.215526 0 3.60412 -3.23797 -5.79699 -8.41873 -10.9499
0.216023 0 0.89398 -2.23495 3.01718 -5.81087 5.69912
0.216521 0 3.40746 -0.511361 -4.10273 -1.32954 -7.7496
0.21702 0 7.84168 -16.085 16.9749 -41.821 32.0638
0.217521 0 2.33229 7.6423 1.72389 19.87 3.25623
0.218022 0 1.14442 2.65612 -2.34627 6.90592 -4.43185
0.218525 0 2.09847 4.65446 11.1546 12.1016 21.0697
0.219028 0 0 0 0 0 0
0.219533 0 0 0 0 0 0
0.220039 0 1.08159 1.3618 -3.94713 3.54067 -7.45569
0.220547 0 1.13757 1.40765 -4.16985 3.65989 -7.87639
0.221055 0 1.10738 1.33892 -4.08153 3.48118 -7.70955
0.221565 0 2.72012 -6.61546 8.35744 -17.2002 15.7863
0.222075 0 1.1964 -1.60243 -1.08258 -4.16631 -2.04487
0.222587 0 5.21303 0.0519747 -11.9788 0.135134 -22.6267
0.2231 0 0 0 0 0 0
0.223615 0 0 0 0 0 0
0.22413 0 1.19801 -2.65501 2.58078 -6.90303 4.87481
0.224647 0 0 0 0 0 0
0.225165 0 0 0 0 0 0
0.225684 0 0.907255 4.5107 8.01235 11.7278 15.1344
0.226204 0 0 0 0 0 0
0.226725 0 0 0 0 0 0
0.227248 0 0.988797 -1.33179 -0.873357 -3.46266 -1.64967
0.227772 0 0.867047 0.952105 -3.25492 2.47547 -6.14817
0.228297 0 0 0 0 0 0
0.228823 0 1.92774 3.0692 -6.1724 7.97993 -11.659
0.229351 0 3.61648 -7.00518 3.84593 -18.2135 7.26453
0.22988 0 0 0 0 0 0
0.230409 0 0 0 0 0 0
0.230941 0 0 0 0 0 0
0.231473 0 0 0 0 0 0
0.232007 0 8.99235 3.32987 -13.3358 8.65765 -25.1899
0.232541 0 1.83635 -4.11327 4.1354 -10.6945 7.8113
0.233077 0 0 0 0 0 0
0.233615 0 1.57579 2.15437 5.90085 5.60136 11.146
